(playable-blip) (base) pool@pool-geek:/media/pool/PLAYABLE-D/work/tests$ python blip.py 
[device] cuda | mps_built=False | mps_available=False
[00:02:15] a black and white photo of a desert  (0.272s)
[00:50:59] a man sitting in a chair next to another man  (0.072s)
[00:51:01] a man in a hat sitting on a chair  (0.066s)
[00:51:03] a man in a hat and a man in a suit sitting on a chair  (0.098s)
[00:51:05] a man in a hat and a man in a suit sitting on a chair  (0.098s)
[00:51:07] a man in a suit and hat playing guitar  (0.069s)
[00:51:09] a man in a hat playing a guitar  (0.064s)
[00:51:11] a man sitting on a couch reading a book  (0.068s)
[00:51:13] a man sitting on a couch reading a book  (0.066s)
[00:51:15] a man reading a newspaper while another looks on  (0.065s)
[00:51:17] a man in a hat and a man in a suit sitting down reading a newspaper  (0.103s)
[00:51:19] a man in a hat and suit sitting next to another man  (0.083s)
[00:51:21] a man in a hat and a man in a suit  (0.076s)
[00:51:23] a man in a hat and suit sitting next to another man  (0.082s)
[00:51:25] a man in a suit and hat sitting next to another man  (0.083s)
[00:51:27] a man in a hat and a man in a suit sitting down  (0.091s)
[00:51:29] a man in a cowboy hat sitting at a table  (0.075s)
[00:51:31] a man in a hat and coat sitting on a bench  (0.078s)
[00:51:33] a man in a hat and coat standing in front of a painting  (0.088s)
[00:51:35] a man in a hat and coat standing in front of a fireplace  (0.094s)
[00:51:37] a man in a hat and coat is standing in front of a clock  (0.095s)
[00:51:39] a man in a hat and suit standing in front of a mirror  (0.090s)
[00:51:41] a man in a hat and suit sitting at a desk  (0.083s)
[00:51:43] a man sitting on a couch reading a book  (0.068s)
[00:51:45] a man sitting on a couch reading a book  (0.069s)
[00:51:47] a man sitting on a couch reading a book  (0.069s)
[00:51:49] a man in a hat and suit standing at a desk  (0.081s)
[00:51:51] a man in a suit and hat standing at a desk  (0.079s)
[00:51:53] a man in a suit and hat standing at a desk  (0.083s)
[00:51:55] a man in a hat and suit standing at a desk  (0.079s)
[00:51:57] a man in a suit and hat standing at a desk  (0.077s)
[00:51:59] a man in a suit and hat standing at a desk  (0.080s)
[00:52:01] a man in a hat and suit standing at a desk  (0.079s)
[00:52:03] a man sitting at a desk in a room  (0.069s)
[00:52:05] a man standing in a room with a staircase  (0.067s)
[00:52:07] a man standing in front of a staircase  (0.062s)
[00:52:10] a man and woman walking down a staircase  (0.062s)
[00:52:12] a man and woman are walking down the stairs  (0.067s)
[00:52:14] a man and woman are standing in a room  (0.067s)
[00:52:16] a man and woman standing in a room  (0.061s)
[00:52:18] a clock with a clock face on it  (0.060s)
[00:52:20] a clock with a clock face and hands  (0.063s)
[00:52:22] a clock with a statue on it  (0.059s)
[00:52:24] a man sitting in a chair next to another man  (0.073s)
[00:52:26] a man in a plaid shirt and hat sitting on a couch  (0.082s)
[00:52:28] a man in a hat and a woman in a plaid shirt  (0.083s)
[00:52:30] a man in a room with a clock  (0.066s)
[00:52:32] a man in a plaid shirt is standing on a ladder  (0.078s)
[00:52:34] a man standing on a ledge in a room  (0.067s)
[00:52:36] a man is standing in the corner of a room  (0.072s)
[00:52:38] a man sitting on a chair in a room  (0.068s)
[00:52:40] a man sitting in a chair next to another man  (0.073s)
[00:52:42] a man sitting in a chair with a hat on  (0.073s)
[00:52:44] a man sitting in a chair with a hat on  (0.072s)
[00:52:46] a man sitting on a chair next to a woman  (0.071s)
[00:52:48] a man sitting on a chair next to another man  (0.070s)
[00:52:50] a man sitting in a chair next to another man  (0.076s)
[00:52:52] a man sitting in a chair next to another man  (0.074s)
[00:52:54] a man sitting on a chair next to another man  (0.077s)
[00:52:56] a man sitting on a couch in a room  (0.070s)
[00:52:58] a man sitting on a couch in a room  (0.067s)
[00:53:00] a man sitting in a chair with a bottle  (0.067s)
[00:53:02] a man sitting on a couch in a room  (0.069s)
[00:53:04] a man sitting on a chair next to another man  (0.076s)
[00:53:06] a man sitting in a chair next to another man  (0.074s)
[00:53:08] a man sitting in a chair next to another man  (0.071s)
[00:53:10] a man sitting in a chair next to another man  (0.073s)
[00:53:12] a man sitting in a chair next to another man  (0.074s)
[00:53:14] a man sitting in a chair next to another man  (0.074s)
[00:53:16] a man sitting on a chair next to another man  (0.072s)
[00:53:18] a man sitting in a chair next to another man  (0.076s)
[00:53:20] a man sitting in a chair next to another man  (0.072s)
[00:53:22] a man sitting on a couch next to another man  (0.071s)
[00:53:24] a man sitting on a couch next to another man  (0.071s)
[00:53:26] a man sitting on a chair next to another man  (0.073s)
[00:53:28] a man sitting in a chair with a bottle  (0.070s)
[00:53:30] a man sitting in a chair with a bottle  (0.069s)
[00:53:32] a man sitting on a couch in a room  (0.071s)
[00:53:34] a man sitting on a couch in a room  (0.069s)
[00:53:36] a man sitting on a couch in a room  (0.067s)
[00:53:38] a man sitting on a couch in a room  (0.069s)
[00:53:40] a man sitting on a couch in a room  (0.067s)
[00:53:42] a black and white photo of a town  (0.064s)
[00:53:44] a black and white photo of a town  (0.066s)
[00:53:46] a black and white photo of people walking down a street  (0.077s)
[00:53:48] a man sitting on a couch in a room  (0.067s)
[00:53:50] a man is standing in front of a wall  (0.068s)
[00:53:52] a man in a suit walking down a street  (0.066s)
[00:53:54] a man in a suit and tie walking down a street  (0.077s)
[00:53:56] a man in a suit and tie standing on a street corner  (0.083s)
[00:53:58] a man in a suit and tie standing on a street  (0.076s)
[00:54:00] a man in a suit and tie walking down a street  (0.076s)
[00:54:02] a man in a suit and tie standing next to a building  (0.083s)
[00:54:04] a man in a suit and tie riding a horse  (0.071s)
[00:54:06] a man in a suit and hat is pulling a horse  (0.077s)
[00:54:08] a man in a suit and tie standing outside  (0.068s)
[00:54:10] a man and woman riding horses in front of a building  (0.079s)
[00:54:12] a man in a coat and hat holding an umbrella  (0.073s)
[00:54:14] a man with an umbrella standing in the dirt  (0.067s)
[00:54:16] a man and woman standing in the desert  (0.063s)
[00:54:18] a man and woman are standing next to a horse  (0.073s)
[00:54:20] a man standing outside of a building with a dog  (0.071s)
[00:54:22] a black and white photo of a small building  (0.066s)
[00:54:24] a black and white photo of a small building  (0.068s)
[00:54:26] a man is pulling a horse in the desert  (0.067s)
[00:54:28] a horse drawn carriage  (0.041s)
[00:54:30] a horse drawn carriage  (0.042s)
[00:54:32] a horse drawn carriage in the desert  (0.057s)
[00:54:34] a man in a hat and a woman in a dress  (0.079s)
[00:54:36] two men standing in front of a wall  (0.062s)
[00:54:38] a man standing next to a woman in a room  (0.074s)
[00:54:40] a man standing next to a woman in a room  (0.072s)
[00:54:42] a man in a cowboy hat and jacket  (0.062s)
[00:54:44] a man in a cowboy hat and jacket  (0.063s)
[00:54:46] a man standing in front of a window  (0.063s)
[00:54:48] a woman standing in front of a window  (0.064s)
[00:54:50] a man standing in front of a window  (0.064s)
[00:54:52] a woman standing in front of a window  (0.066s)
[00:54:54] a man standing in front of a window  (0.064s)
[00:54:56] a woman standing in front of a window  (0.063s)
[00:54:58] a man standing in front of a window  (0.063s)
[00:55:00] a man standing in front of a window  (0.063s)
[00:55:02] a man in a room with a mirror  (0.064s)
[00:55:04] a man in a cowboy hat and a woman in a plaid shirt  (0.089s)
[00:55:06] a man sitting in a chair next to another man  (0.074s)
[00:55:08] a man in a cowboy hat and plaid shirt is sitting on a chair  (0.093s)
[00:55:10] a man sitting on a couch next to a woman  (0.074s)
[00:55:12] a man sitting on a couch next to another man  (0.076s)
[00:55:14] a man in a suit and hat is talking to another man  (0.083s)
[00:55:16] a man in a cowboy hat sitting on a chair  (0.072s)
[00:55:18] a man in a cowboy hat sitting on a chair  (0.070s)
[00:55:20] a man in a cowboy hat sitting at a table  (0.073s)
[00:55:22] a man in a cowboy hat sitting on a chair  (0.074s)
[00:55:24] a man sitting in a chair with a book  (0.067s)
[00:55:26] a man in a cowboy hat sitting on a couch  (0.071s)
[00:55:28] a man is sitting on a couch with his head in his hands  (0.090s)
[00:55:30] a man laying on a couch with a hat on  (0.073s)
[00:55:32] a man sitting on a couch in a room  (0.067s)
[00:55:34] a man sitting on a couch in a room  (0.072s)
[00:55:36] a man sitting on a couch in a room  (0.070s)
[00:55:38] a man sitting on a couch in a room  (0.068s)
[00:55:40] a man sitting on a couch in a room  (0.069s)
[00:55:42] a man sitting on a couch in a room  (0.068s)
[00:55:44] a man sitting on a couch in a room  (0.069s)
[00:55:46] a man sitting in a chair with a sign  (0.069s)
[00:55:48] a man in a suit and hat smoking a cigarette  (0.076s)
[00:55:50] a man in a suit and hat sitting on a couch  (0.078s)
[00:55:52] a man in a suit and tie laying on a couch  (0.081s)
[00:55:54] a man laying on a bed with his head on the pillow  (0.085s)
[00:55:56] a man laying on a couch with his head in his hands  (0.082s)
[00:55:58] a man laying on a couch with his feet up  (0.077s)
[00:56:00] a man sitting on a couch with his hat on  (0.075s)
[00:56:02] a man sitting in a chair with a sign  (0.066s)
[00:56:04] a man sitting in a chair with a guitar  (0.066s)
[00:56:06] a man sitting in a chair with a sign  (0.067s)
[00:56:08] a pocket watch hanging from a chain  (0.056s)
[00:56:10] a man laying on a bed with a hat on  (0.073s)
[00:56:12] a man laying on a couch with his head on his hand  (0.084s)
[00:56:14] a man in a suit and tie standing next to a building  (0.081s)
[00:56:16] a man in a suit and tie is reading a newspaper  (0.080s)
[00:56:18] a black and white photo of a woman reading a book  (0.079s)
[00:56:20] a man sitting on a couch in a living room  (0.073s)
[00:56:22] a man sitting on a couch with a horse  (0.068s)
[00:56:24] a man sitting on a couch in a living room  (0.073s)
[00:56:26] a man sitting on a couch in a room  (0.069s)
[00:56:28] a man sitting at a bar in a dark room  (0.074s)
[00:56:30] a man sitting at a bar in a dark room  (0.073s)
[00:56:32] a man in a cowboy hat standing at the bar  (0.074s)
[00:56:34] a man in a cowboy hat standing at a bar  (0.072s)
[00:56:36] a man standing at the bar in a bar  (0.072s)
[00:56:38] a man standing at a bar with a bar in the background  (0.083s)
[00:56:40] a man standing at a bar with a woman behind him  (0.077s)
[00:56:42] a man sitting at a bar with a woman behind him  (0.077s)
[00:56:44] a man sitting at a bar with a woman behind him  (0.078s)
[00:56:46] a man sitting at a bar with a bar in the background  (0.084s)
[00:56:48] a man sitting at a bar with a bar in the background  (0.083s)
[00:56:50] a man in a cowboy hat standing at a bar  (0.074s)
[00:56:52] a man in a cowboy hat standing at the bar  (0.077s)
[00:56:54] a man in a cowboy outfit standing next to a woman  (0.079s)
[00:56:56] a man in a hat and jacket standing next to a woman  (0.083s)
[00:56:58] a man in a hat and jacket standing at a bar  (0.078s)
[00:57:00] two men standing at a bar in a bar  (0.067s)
[00:57:02] a man in a hat standing at a bar  (0.068s)
[00:57:04] a man in a hat and a man in a suit stand at a bar  (0.098s)
[00:57:06] two men sitting at a bar talking  (0.057s)
[00:57:08] two men in cowboy hats sit at the bar  (0.068s)
[00:57:10] two men sitting at a bar with bottles  (0.062s)
[00:57:12] two men in cowboy hats stand at the bar  (0.069s)
[00:57:14] two men in cowboy hats sit at a bar  (0.067s)
[00:57:16] two men sitting at a bar with bottles  (0.063s)
[00:57:18] two men sitting at a bar in a bar  (0.066s)
[00:57:20] two men in cowboy hats stand at the bar  (0.070s)
[00:57:22] a man in a cowboy hat and a man in a suit sitting at a bar  (0.103s)
[00:57:24] a man in a cowboy hat and a man in a suit stand at a bar  (0.102s)
[00:57:26] two men in cowboy hats stand at the bar  (0.068s)
[00:57:28] two men sitting at a bar with bottles of alcohol  (0.072s)
[00:57:30] two men sitting at a bar with bottles of alcohol  (0.072s)
[00:57:32] two men sitting at a bar with bottles of alcohol  (0.071s)
[00:57:34] two men sitting at a bar with a drink  (0.069s)
[00:57:36] two men sitting at a bar talking  (0.059s)
[00:57:38] a man standing at a bar with another man behind him  (0.075s)
[00:57:40] a man in a hat standing at a bar  (0.067s)
[00:57:42] a man standing in front of a bar  (0.064s)
[00:57:44] a room with a lot of furniture and a lot of flowers  (0.084s)
[00:57:46] a room with a lot of furniture and a lot of flowers  (0.081s)
[00:57:48] a man in a cowboy hat sitting on a couch  (0.073s)
[00:57:50] a man in a plaid shirt holding a knife  (0.068s)
[00:57:52] a man in a cowboy hat sitting on a couch  (0.073s)
[00:57:54] a man in a cowboy hat sitting on a couch  (0.073s)
[00:57:56] a man holding a knife in front of a mirror  (0.070s)
[00:57:58] a man in a plaid shirt holding a cigarette  (0.068s)
[00:58:00] a man in a plaid shirt holding a gun  (0.067s)
[00:58:02] a man in a hat and jacket sitting on a couch  (0.078s)
[00:58:04] a man sitting on a couch with his hand on his face  (0.086s)
[00:58:06] a man in a plaid shirt holding a knife  (0.068s)
[00:58:08] a man standing in front of a mirror  (0.065s)
[00:58:10] a man standing in front of a mirror  (0.061s)
[00:58:12] a man in a plaid shirt is standing in front of a mirror  (0.088s)
[00:58:14] a man in a room with a mirror  (0.063s)
[00:58:16] a man sitting on a couch with his hand on his mouth  (0.084s)
[00:58:18] a man sitting on a couch with his hand in his mouth  (0.085s)
[00:58:20] a man standing in front of a mirror  (0.062s)
[00:58:22] a man standing in front of a mirror holding a cat  (0.078s)
[00:58:24] a man sitting on a couch with his hand on his face  (0.085s)
[00:58:26] a man sitting on a couch with his hand on his face  (0.083s)
[00:58:28] a man sitting on a couch with his hand on his face  (0.087s)
[00:58:30] a man sitting on a couch with a cigarette in his mouth  (0.083s)
[00:58:32] a man sitting on a couch with his hand on his face  (0.084s)
[00:58:34] a man sitting on a couch with his hand on his face  (0.083s)
[00:58:36] a man standing in front of a mirror  (0.061s)
[00:58:38] a man smoking a cigarette in a room  (0.061s)
[00:58:40] a man is laying down with his head on his hand  (0.078s)
[00:58:42] a man is laying down on a couch  (0.063s)
[00:58:44] a man standing in front of a crowd  (0.063s)
[00:58:46] a man standing in front of a table with a lamp  (0.078s)
[00:58:48] a man standing in front of a table with a bunch of flowers  (0.089s)
[00:58:50] a man is working on a sculpture in a room  (0.077s)
[00:58:52] a man is smoking a cigarette in a dark room  (0.073s)
[00:58:54] a man is smoking a cigarette in a black and white photo  (0.083s)
[00:58:56] a man is smoking a cigarette in his hand  (0.069s)
[00:58:58] a man smoking a cigarette in a room  (0.063s)
[00:59:00] a man is smoking a cigarette in his mouth  (0.069s)
[00:59:02] a man sitting in a chair in a room  (0.068s)
[00:59:04] a man in a suit is holding a cigarette  (0.067s)
[00:59:06] a man sitting in a chair with a broken arm  (0.070s)
[00:59:08] a man is smoking in a room  (0.056s)
[00:59:10] a man laying on a couch with his head down  (0.072s)
[00:59:12] a man laying on a couch with his head resting on his hand  (0.088s)
[00:59:14] a man sitting in a chair with a knife  (0.068s)
[00:59:16] a man in a hat and jacket smoking a cigarette  (0.073s)
[00:59:18] a man in a cowboy hat is sitting on a couch  (0.078s)
[00:59:20] a man standing on a porch with a dog  (0.066s)
[00:59:22] a black and white photo of a man standing on a porch  (0.081s)
[00:59:24] a man standing outside of a building with a dog  (0.077s)
[00:59:26] a man walking past a small building  (0.058s)
[00:59:28] a man walking in front of a house  (0.064s)
[00:59:30] a man walking down a street in the snow  (0.069s)
[00:59:32] a man walking down a street in a small town  (0.072s)
[00:59:34] a black and white photo of two men walking on a dirt road  (0.087s)
[00:59:36] two men walking down a street in the middle of a town  (0.085s)
[00:59:38] a man in a cowboy hat is standing next to a horse  (0.081s)
[00:59:40] a man in a cowboy hat is standing next to a horse  (0.085s)
[00:59:42] a man in a cowboy hat standing next to a horse  (0.078s)
[00:59:44] a black and white photo of people in a town  (0.076s)
[00:59:46] a black and white photo of people in a town  (0.075s)
[00:59:48] a black and white photo of people in a town  (0.073s)
[00:59:50] a black and white photo of a small town  (0.070s)
[00:59:52] a black and white photo of people in a town  (0.072s)
[00:59:54] a man sitting in a chair outside  (0.056s)
[00:59:56] a woman standing in front of a window  (0.063s)
[00:59:58] a man standing in a room with a chair  (0.067s)
[01:00:00] a man riding a horse down a street  (0.066s)
[01:00:02] a man is standing in front of a horse drawn carriage  (0.079s)
[01:00:04] a black and white photo of people walking down a street  (0.079s)
[01:00:06] a black and white photo of people walking through a window  (0.079s)
[01:00:08] a black and white photo of people standing outside  (0.069s)
[01:00:10] a man in a suit and hat standing at a bar  (0.079s)
[01:00:12] a man in a suit and hat standing next to a horse drawn carriage  (0.093s)
[01:00:14] a man in a hat and coat standing in front of a building  (0.089s)
[01:00:16] a man in a suit and hat standing at a bar  (0.081s)
[01:00:18] a man in a suit and hat standing at a bar  (0.081s)
[01:00:20] a group of people standing around a bar  (0.066s)
[01:00:22] a man in a suit and hat standing next to another man  (0.083s)
[01:00:24] a man in a suit and hat talking to another man  (0.080s)
[01:00:26] a man in a suit and hat talking to another man  (0.078s)
[01:00:28] a man in a hat and suit smoking a cigarette  (0.073s)
[01:00:30] a man in a suit and hat standing next to another man  (0.082s)
[01:00:32] a man in a hat and suit standing in a room  (0.076s)
[01:00:34] a man in a hat and suit standing in a room  (0.077s)
[01:00:36] a man in a hat and suit standing in a room  (0.077s)
[01:00:38] a man in a hat and suit standing in a room  (0.079s)
[01:00:40] a man in a hat and suit sitting at a desk  (0.078s)
[01:00:42] a man in a hat drinking from a glass  (0.068s)
[01:00:44] a man in a hat and suit sitting at a table  (0.080s)
[01:00:46] a man in a hat and coat standing in a room  (0.082s)
[01:00:48] a man in a hat and suit sitting at a table  (0.078s)
[01:00:50] a man in a hat and suit sitting at a table  (0.080s)
[01:00:52] a man in a hat and coat standing in a room  (0.078s)
[01:00:54] a man in a hat standing in a room  (0.070s)
[01:00:56] a man in a hat and jacket sitting on a chair  (0.080s)
[01:00:58] a statue of a woman standing on a staircase  (0.069s)
[01:01:00] a man in a hat and a woman in a dress  (0.078s)
[01:01:02] two men in hats talking in a room  (0.063s)
[01:01:04] a man in a cowboy hat smoking a cigarette  (0.067s)
[01:01:06] a man in a cowboy hat smoking a pipe  (0.067s)
[01:01:08] a man sitting on a chair in front of a building  (0.076s)
[01:01:10] a man in a cowboy hat is smoking a pipe  (0.074s)
[01:01:12] a man sitting on a bench in front of a building  (0.077s)
[01:01:14] a man in a cowboy hat and jacket  (0.062s)
[01:01:16] a man in a cowboy hat and jacket  (0.063s)
[01:01:18] a man sitting on a bench with a tennis racket  (0.078s)
[01:01:20] a man in a cowboy hat and jacket  (0.062s)
[01:01:22] a man sitting in a chair with a tennis racket  (0.078s)
[01:01:24] a man sitting in a chair with a knife  (0.067s)
[01:01:26] a man sitting in a chair with a knife  (0.066s)
[01:01:28] a man in a cowboy hat sitting on a chair  (0.073s)
[01:01:30] a man in a cowboy hat sitting on a bench  (0.075s)
[01:01:32] a man in a cowboy hat and jacket  (0.063s)
[01:01:34] a man in a cowboy hat smoking a cigarette  (0.067s)
[01:01:36] a man sitting in a chair with a knife  (0.070s)
[01:01:38] a man in a cowboy hat sitting on a couch  (0.075s)
[01:01:40] a man in a cowboy hat and jacket  (0.061s)
[01:01:42] a man in a cowboy hat sitting on a chair  (0.073s)
[01:01:44] a man in a cowboy hat and jacket  (0.063s)
[01:01:46] a man in a plaid shirt smoking a cigarette  (0.071s)
[01:01:48] a man in a plaid shirt is sitting in a chair  (0.079s)
[01:01:50] a man in a cowboy hat sitting on a bench  (0.072s)
[01:01:52] a man in a plaid shirt sitting in a chair  (0.072s)
[01:01:54] a man in a cowboy hat and jacket  (0.061s)
[01:01:56] a man in a cowboy hat sitting on a couch  (0.075s)
[01:01:58] a man in a cowboy hat and jacket  (0.062s)
[01:02:00] a man with a face full of mud  (0.061s)
[01:02:02] a man is standing in a room with a bed  (0.073s)
[01:02:04] a man in a room with a guitar  (0.064s)
[01:02:06] a man in a room with a bed and a woman  (0.077s)
[01:02:08] a man in a suit and tie standing next to a bed  (0.083s)
[01:02:10] a man in a room with a bed and a woman  (0.077s)
[01:02:12] a man laying on a bed in a room  (0.068s)
[01:02:14] a man in a room with a lamp  (0.062s)
[01:02:16] a man in a room with a bed and a lamp  (0.077s)
[01:02:18] a man in a suit and top hat is dancing  (0.074s)
[01:02:20] a woman is sitting on the ground with her hands in her pockets  (0.088s)
[01:02:22] a man is holding a small child in his arms  (0.073s)
[01:02:24] a man in a suit and tie sitting on a chair  (0.079s)
[01:02:26] two men in suits and hats holding pistols  (0.063s)
[01:02:28] a man sitting on a chair with his hand on his face  (0.081s)
[01:02:30] two men in suits and hats holding guns  (0.062s)
[01:02:32] a man in a cowboy hat and shirt  (0.065s)
[01:02:34] a man in a cowboy hat and vest  (0.062s)
[01:02:36] a man in a suit and hat standing next to a mirror  (0.082s)
[01:02:38] a man in a hat and a woman in a chair  (0.078s)
[01:02:40] a man in a room with a lamp  (0.064s)
[01:02:42] a man in a suit and hat standing next to a wall  (0.082s)
[01:02:44] a man in a suit and hat holding a microphone  (0.072s)
[01:02:46] a man in a plaid shirt is standing in a room  (0.078s)
[01:02:48] a man standing in a room with a mirror  (0.069s)
[01:02:50] a man riding a horse down a street  (0.063s)
[01:02:52] a person is sitting on a bed in a room  (0.075s)
[01:02:54] a man sitting on a bed in a room  (0.068s)
[01:02:56] a man in a hat and a suit is sitting in a chair  (0.086s)
[01:02:58] a man standing in a room with a gun  (0.068s)
[01:03:00] a man standing in a room with a light on  (0.077s)
[01:03:02] a man in a suit and tie is sitting at a table  (0.084s)
[01:03:04] a man in a hat and coat standing in front of a door  (0.088s)
[01:03:06] a man standing in a room with a lamp  (0.070s)
[01:03:08] a man in a cowboy hat sitting on a bench  (0.074s)
[01:03:10] a dog is standing in the doorway of a building  (0.076s)
[01:03:12] a man in a hat and a man in a plaid shirt  (0.083s)
[01:03:14] a man in a cowboy hat and jacket  (0.063s)
[01:03:16] a man in a cowboy hat and vest sitting on a bench  (0.085s)
[01:03:18] a man in a cowboy hat and shirt  (0.062s)
[01:03:20] a man riding a horse in a dirt field  (0.066s)
[01:03:22] a black and white photo of a small town  (0.070s)
[01:03:24] a man riding a horse in front of a house  (0.073s)
[01:03:26] a man riding a horse in a desert  (0.064s)
[01:03:28] a cactus in the desert with mountains in the background  (0.073s)
[01:03:30] a black and white photo of a dirt road  (0.068s)
[01:03:32] a man walking through a desert with tall cactus trees  (0.073s)
[01:03:34] two men in a doorway with guns  (0.058s)
[01:03:36] two men standing outside of a building with a gun  (0.073s)
[01:03:38] two men standing outside of a building with a gun  (0.074s)
[01:03:40] two men standing in a window looking at something  (0.068s)
[01:03:42] two men standing in a window looking at each other men  (0.078s)
[01:03:44] two men in cowboy hats stand outside a building  (0.070s)
[01:03:46] a man is standing on a ledge  (0.058s)
[01:03:48] a man in a suit and tie standing next to another man  (0.083s)
[01:03:50] a man sitting on a chair in a room  (0.068s)
[01:03:52] a man in a suit and hat is talking to another man  (0.081s)
[01:03:54] a man sitting on a chair in a room  (0.067s)
[01:03:56] a man in a cowboy hat and jacket  (0.064s)
[01:03:58] a man in a cowboy hat sits on a bench  (0.074s)
[01:04:00] a man in a cowboy hat sitting on a bench  (0.073s)
[01:04:02] a man in a cowboy hat and jacket  (0.065s)
[01:04:04] a man in a cowboy hat sitting on a bench  (0.073s)
[01:04:06] a man in a cowboy hat sits on a bench  (0.073s)
[01:04:08] a man in a cowboy hat sitting on a bench  (0.074s)
[01:04:10] a man in a cowboy hat sits on a bench  (0.074s)
[01:04:12] a man in a hat and coat standing in front of a door  (0.088s)
[01:04:14] a man in a suit and tie standing in front of a curtain  (0.086s)
[01:04:16] a man in a cowboy hat sits on a couch  (0.073s)
[01:04:18] a man in a cowboy hat and shirt  (0.063s)
[01:04:20] a man in a cowboy hat and jacket  (0.062s)
[01:04:22] a man in a plaid shirt is looking at the camera  (0.078s)
[01:04:24] a man in a suit and hat standing next to a woman  (0.084s)
[01:04:26] a man in a hat and a woman in a dress  (0.084s)
[01:04:28] a man in a suit and hat sitting on a chair  (0.079s)
[01:04:30] a man sitting on a chair in a room  (0.065s)
[01:04:32] a man in a plaid shirt and tie standing in front of a curtain  (0.095s)
[01:04:34] a man in a hat sitting on a chair  (0.071s)
[01:04:36] a man in a hat and coat looking at a wall  (0.078s)
[01:04:38] a man in a hat and suit with a tie  (0.073s)
[01:04:40] a man in a hat and suit is looking at the camera  (0.083s)
[01:04:42] a man in a hat and suit with a cigarette  (0.073s)
[01:04:44] a man in a hat sitting on a chair  (0.065s)
[01:04:46] a man in a cowboy hat sitting on a chair  (0.074s)
[01:04:48] a man in a cowboy hat sitting on a chair  (0.074s)
[01:04:50] a man is walking through a small town  (0.064s)
[01:04:52] a man walking down a dirt road next to a building  (0.076s)
[01:04:54] two men in a window with a knife  (0.062s)
[01:04:56] a man riding a horse down a street  (0.062s)
[01:04:58] two men in hats looking out of a window  (0.067s)
[01:05:00] two men in hats looking out of a window  (0.068s)
[01:05:02] a man in a cowboy hat and a horse  (0.066s)
[01:05:04] a man in a hat looking at a cat  (0.069s)
[01:05:06] two men in a window looking at something  (0.062s)
[01:05:08] two men in hats looking out of a window  (0.067s)
[01:05:10] two men in hats looking out the window  (0.063s)
[01:05:12] a man is standing in the doorway of a house  (0.071s)
[01:05:14] the three men are standing in a room  (0.064s)
[01:05:16] three men in a room with a painting on the wall  (0.080s)
[01:05:18] three men in a room with a painting on the wall  (0.078s)
[01:05:20] three men standing in a room with a painting on the wall  (0.085s)
[01:05:22] two men in hats looking at each other man  (0.070s)
[01:05:24] a man in a hat and a man in a suit  (0.081s)
[01:05:26] two men in hats and ties stand next to each other men  (0.086s)
[01:05:28] two men in hats and coats stand next to each other men  (0.081s)
[01:05:30] two men in hats and coats looking at something  (0.071s)
[01:05:32] two men in hats and coats stand next to each other men  (0.085s)
[01:05:34] two men in hats and coats stand next to each other men  (0.084s)
[01:05:36] a man in a plaid shirt standing in front of a curtain  (0.084s)
[01:05:38] two men in hats and ties looking at each other man  (0.077s)
[01:05:40] a man with a shirt on and a shirt on  (0.074s)
[01:05:42] a man in a hat and coat standing next to a mirror  (0.083s)
[01:05:44] a man in a hat and coat looking at a mirror  (0.080s)
[01:05:46] a man in a hat looking at a mirror  (0.070s)
[01:05:48] a man in a hat looking out the window  (0.072s)
[01:05:50] a man in a hat and coat leaning against a wall  (0.079s)
[01:05:52] a man in a hat and coat standing next to a door  (0.083s)
[01:05:54] a man in a hat and coat standing next to a window  (0.084s)
[01:05:56] a man in a hat looking at another man in a suit  (0.083s)
[01:05:58] a man in a hat looking at another man in a suit  (0.083s)
[01:06:00] a man in a cowboy hat and jacket  (0.062s)
[01:06:02] a man in a cowboy hat and jacket  (0.060s)
[01:06:04] a man in a cowboy hat and jacket  (0.064s)
[01:06:06] a man in a hat and a man in a suit  (0.076s)
[01:06:08] a man standing in front of a mirror  (0.063s)
[01:06:10] a man in a suit and hat sitting on a bed  (0.078s)
[01:06:12] a man in a hat standing in a room  (0.066s)
[01:06:14] a man in a hat and coat sitting on a chair  (0.078s)
[01:06:16] a man in a hat and shirt sitting on a chair  (0.078s)
[01:06:18] a man walking down a dirt road in a small town  (0.078s)
[01:06:20] a man in a hat and jacket sitting on a chair  (0.077s)
[01:06:22] a man in a cowboy hat sits on a chair  (0.073s)
[01:06:24] a man in a cowboy hat sits on a chair  (0.071s)
[01:06:26] a man in a hat and shirt sitting on a chair  (0.077s)
[01:06:28] a horse pulling a cart through a field  (0.063s)
[01:06:30] a horse drawn wagon in the desert  (0.056s)
[01:06:32] a horse drawn carriage travels through the desert  (0.065s)
[01:06:34] a horse drawn carriage in front of a rock formation  (0.073s)
[01:06:36] a horse drawn wagon in front of a rock formation  (0.071s)
[01:06:38] a black and white photo of people on horses  (0.069s)
[01:06:40] a group of people are walking down the street  (0.070s)
[01:06:42] a group of people standing around a horse drawn wagon  (0.075s)
[01:06:44] a black and white photo of a woman and two children on a horse drawn carriage  (0.104s)
[01:06:46] a group of people sitting around a table  (0.063s)
[01:06:48] a woman is standing next to a man and two children  (0.078s)
[01:06:50] a woman is sitting on a horse in a stable  (0.078s)
[01:06:52] a woman is holding a large knife while two children look on  (0.083s)
[01:06:54] a group of people sitting around a table  (0.064s)
